[13375330793923795317L, 12027533560444180696L, 9386556683037126086L, 16513814405118543412L, 15759538036384567958L, 12520738552360333812L, 16590731238126089138L, 10192691073041572256L, 18355015255501067911L, 13136496169547065335L, 11624180277907892035L, 12066310814168104711L, 16237094209772189751L]
[11984757280651854215L, 10109993379264665923L, 13659413457932911740L, 13409309870367767651L, 9770572379031684018L, 18093410999467364218L, 12399900543978083713L, 15448381219410905381L, 10896127165577934530L, 15393312061305277612L, 15737053437335639511L, 12975187557735240215L, 10156308941994362168L]
[16767362940908457987L, 16131216265338717596L, 13619027324207433322L, 12848746723828181169L, 13719918893486719719L, 15423979740370486554L, 11192984516140231607L, 16124082549169832762L, 12187019428554734590L, 15809122207053194982L, 17195610432336159983L, 17459275655929569269L, 11217404253664152459L]
[13388903390403619202L, 12351165310083003127L, 12284164715139687556L, 14085526211224014532L, 12378942327544262128L, 12861502777497489392L, 9479951857362572416L, 15672262001373854118L, 15651903291999086150L, 11519648074923423188L, 17450522109936433995L, 15191364868314083899L, 16448920842424053351L]
[17586010848209869367L, 10170794409796583154L, 16564013138799849905L, 18074808938350978092L, 17250746351896722693L, 16170493495309181168L, 14777380087911121628L, 12932216478653360681L, 18248907852663047581L, 10509178511971953449L, 10520673496463056290L, 15648526637108877775L, 14418897350956253060L]
[16596092869086024048L, 9992929196925755997L, 16911846472756119904L, 13379167477418240471L, 15991280794761174526L, 17367061588400858144L, 13004239359950589213L, 14996925600670969147L, 14873847799694882054L, 17358399501788508184L, 14847075557428676468L, 17072645019769568328L, 17767604396489075383L]
[17661993220888290708L, 18269994528511046367L, 15614649976016303831L, 18272729832922127409L, 11343791350712890547L, 12641145030075358922L, 14530567443060210556L, 10893875035685987447L, 12830069459532541634L, 15939135610504740760L, 15702315185558935776L, 17044677146925343856L, 16057873735968449499L]
[15532549950926612678L, 13217144432087092004L, 14034628095428680178L, 13979020737962470617L, 12157129912039175383L, 13485185052612750297L, 16006066094068968759L, 12663644648363665337L, 18352968817842030150L, 9874972993596919231L, 17334441901228810267L, 13033487445541828915L, 18243012253476561343L]
[10374706544408995156L, 10282569045876303219L, 12470496512051876567L, 9901638733475915599L, 14990585231841614506L, 15259825358327843537L, 10362459710635077097L, 13854685890884532051L, 16960831429298783927L, 12256978471134517221L, 12538351492685907326L, 17625116515725221318L, 17267959044370329690L]
[11918053333725660341L, 13934518951671899535L, 13540845524973729508L, 10031864742603989651L, 16208792492756562850L, 11373675574680139596L, 18380166487599243788L, 18080028927025424339L, 12607227347587022302L, 18235971567561404238L, 15926182352443225063L, 12714140552524530873L, 13344864728949281379L]
[17385268507325721875L, 9828362272120101049L, 16381419317820701167L, 9569536665337291214L, 12343905906999208299L, 17642866708858025197L, 13326361476593353376L, 13669450249851860627L, 18066735688080117721L, 18334928793722053868L, 16565514343553119505L, 18321000913030929726L, 9878539516389235802L]
[10392283321335623329L, 10815109731885120482L, 13471764820698765468L, 16366041745414586964L, 12661737730435001520L, 11328275736927732148L, 15124133828670829346L, 14906364160023358248L, 14309272757530420926L, 14166027706215468489L, 9473070394807362956L, 18010752792360321980L, 10617101739542207669L]
[15737244109360759354L, 12666517778440787948L, 15914935884117025960L, 16075088766032598196L, 10824697992890235021L, 14076369118650012463L, 11202978898457042506L, 9298156020567226961L, 14430911973028065279L, 16264025563926670536L, 11253557657094416329L, 9387103272246057824L, 14311258019470027710L]
[11858289410200289324L, 18229418540308356442L, 12892376073886601128L, 15604125860013923590L, 10208286131359004912L, 10207317176308108047L, 15394214403442997362L, 15065869230844007497L, 16594309059884724857L, 17731612683572386413L, 12356351241781730876L, 11362939394683836101L, 14786169832045049708L]
[17071939292049027468L, 10727200934452629115L, 18139283405502848427L, 15747995319879872312L, 14347856312006867125L, 10276704531872257432L, 16522432257114060035L, 14058808343024698278L, 17414104334974754581L, 9257966519816526902L, 13800585144660340522L, 10629617453497425065L, 15936169161474885474L]
[12070274084101639012L, 15152471764666018307L, 13453090179368970848L, 16331505676877584255L, 13765829078556262229L, 14782167833252451261L, 12307182169235584570L, 9626981262641203958L, 17939186476286930569L, 16185786387960911445L, 17208335867103738057L, 10566006715597994961L, 14563204973209404203L]
[12273283526912860924L, 16301625184539874494L, 14344939760201244161L, 13069839219440106522L, 10064721610060365523L, 14091871395338994162L, 10261528116685900502L, 9662761487603883964L, 10889912013166724484L, 13709250226271421887L, 17850072906949390162L, 15987037349266149989L, 15194155825639070659L]
[12241027617187074674L, 9332140127379733418L, 14978491967824528179L, 15242950892969861548L, 13909742156161687401L, 15866010121289786819L, 17533022198931371511L, 13616945620520554992L, 12862058408604409714L, 15185083018222313407L, 9690930610109397334L, 12132302144966711688L, 16383529464841600416L]
[18300907227884807257L, 9542006609188327629L, 9883763560614502096L, 13683282984459327225L, 10431169199161929244L, 10431910219879219275L, 11407993072238091793L, 17430149838730014311L, 11645224138555435968L, 14292536226226015847L, 17206667732832440996L, 14168802535795358136L, 13118093196710294754L]
[15988625318311126967L, 10023775234572209174L, 13620051557046999168L, 15232323475394311565L, 12600720661376344680L, 16678814933693015422L, 14358545426049665424L, 13485126116744181294L, 15795335480629009393L, 17080427257488261883L, 17215605371211833733L, 16740020938182508574L, 10532763406282656816L]
[13230084773396824948L, 16243712228227398147L, 12281884407979088488L, 10784016274893846325L, 15190914090000662386L, 14592133155716781471L, 15393396861272722078L, 12499751173527398796L, 14941860499353149553L, 11719781835514643947L, 12266292823152181402L, 14601384205983987156L, 13790100664954808920L]
[17390245954662266420L, 17243618995684285959L, 10123091628007716873L, 10669827597173148061L, 11031487463767926979L, 10483572987379469234L, 18428763334619230390L, 16852752331827851380L, 16747643541177194290L, 15661659514243692810L, 16645675777533164177L, 15527274403351465174L, 9890744642765176791L]
[11890127303868704847L, 12102310085278600039L, 12029142248057382623L, 12396270690598804117L, 9852448132030578334L, 10830804796010386831L, 11746183160346534126L, 9976863290375294740L, 16725137442728324945L, 16018804060644994945L, 15466085348712122684L, 12764686816906038292L, 18149492066806526192L]
[10668925147977619256L, 18176617544651827967L, 12875211543713035994L, 17585016096973164669L, 13730937027492925706L, 11135576652478426621L, 12903529016644105935L, 14335941027677102746L, 12468904755466150083L, 10906857898022687163L, 15553957280543189496L, 16696025494419059379L, 15242024686251943448L]
[11235744372253794929L, 16453165142631042293L, 18313478210469925314L, 18442388203730196374L, 13416945735112498985L, 18301957027997574265L, 15262240319711897711L, 15740382232856847507L, 14625196024847928305L, 9498626586627823365L, 15690881884262557620L, 18189770060532362144L, 9700898470799665787L]
[10260278748478275095L, 17573204805618317013L, 11382140605768483144L, 17908879927841229601L, 12778275538428024863L, 17890642033096978958L, 12446258934059518804L, 12816711081718505220L, 14941434149897288640L, 13427990049829433858L, 11394531068909543585L, 17864640352306337206L, 18358810677077364140L]
[17318237469784463734L, 11248711339211479055L, 10725213144453598894L, 15629974496192965799L, 16193005637911646746L, 10644109102191587815L, 12851315177328023792L, 15162797203323082862L, 15403144549527116923L, 10458970829173769203L, 10713964425343730887L, 9656492904460325376L, 16694503677427650713L]
[10951564045270364791L, 14413099846653873090L, 15125367969459773640L, 16140200741640488750L, 12926094410430290603L, 13537584554374113006L, 17294003842368047183L, 12994579193198407507L, 13325896110937138010L, 14160768610668701200L, 15706583620935884731L, 14040514853344767729L, 14467797541038939649L]
[16537008556671457851L, 16474381155915929880L, 18252803939176166013L, 9809280807118050553L, 15149540992718456843L, 16024588002370917666L, 14599053443108682925L, 18262830074624951155L, 10062178115352310102L, 11431095574842054034L, 9703124731034240085L, 14685250324617022223L, 17756357105553383954L]
[17886337026929534112L, 17412171488367272576L, 11306576648596678802L, 18039238182255078360L, 16536008365618883752L, 15525273389697929493L, 13473359435436856745L, 13734530155660504012L, 18045329637972390321L, 10535385383473810323L, 14566253551397203996L, 11615459446551990767L, 12468177435364314425L]
[15475655052852658887L, 15188052873036026908L, 9539609553113791027L, 14735423970839256318L, 16546229966766597591L, 15316373236922721892L, 14660276241831334564L, 14319010435468852782L, 15063302773277675731L, 17993789127169472097L, 14051715455355640205L, 15763868226220488199L, 14023554721835508855L]
[11253817861115791720L, 13800186582169589147L, 10657750669576143214L, 10535667893734369147L, 10056062520966533576L, 11424310729104630231L, 17379374646521431716L, 17514410593486340923L, 16510775393955157351L, 9811653493835204977L, 18074730294346011288L, 15026149578039484210L, 16765169050929196464L]
[13918928560205440860L, 13854133148017131446L, 14726782776249532200L, 14746722328586878012L, 12324214504158905390L, 14941337423328533434L, 17087532235650371965L, 12713557823237188733L, 18275265323660472847L, 17639481644112047704L, 9643252158600093014L, 12340527430032515526L, 15157818667807451116L]
[11124530066786914995L, 10007366924045006578L, 13432110337745697951L, 18387348817028759833L, 12815497570535659771L, 15260229197334990520L, 10151061417435160882L, 11329132171961544657L, 17588744519541417871L, 17075252399225289857L, 18207986120535427212L, 12187758524474185010L, 16723190096724765494L]
[10716633777682762139L, 14353284574826002526L, 10383733865793829893L, 9720683179374270763L, 10220695567675664145L, 12450234642990650537L, 16498153191718294354L, 12560298263702448262L, 13821077258024626233L, 14130608980321105638L, 17612978142209303333L, 14300076052551682986L, 10787516539602557598L]
[13248651548276779778L, 16985548757356920738L, 11341544390380704187L, 14188547998409361061L, 10603094150921108275L, 18260765539982607500L, 9333307702403775750L, 11741309184184253342L, 16176310790422503425L, 9787336079791699176L, 12476221519797289177L, 12701524619561336744L, 10910296597291264376L]
[12550634009644171136L, 13328011942644357813L, 12346407111920074312L, 13815380799845478723L, 9645955034972669496L, 12621872664363259137L, 15784240882620384447L, 10985045372757496180L, 16094622327763815228L, 14291379897855533677L, 14376864017842136273L, 17094452512216517512L, 10956302834102680803L]
[13240447079130133740L, 10730764371847885949L, 15690296451439363885L, 13391322214352544750L, 11314292397307969914L, 16129843392993502815L, 11401277150925082417L, 12765428039719182788L, 15741475502783672525L, 14706831279509293447L, 17385107822596741867L, 10947832281932065483L, 11235321674428358019L]
[14732895664634753011L, 15264472362352341006L, 16049786778445780605L, 10633131446515251578L, 13932931306106966226L, 16040106696847272931L, 15036100533679227281L, 13416325911878753832L, 17231890601597664677L, 16296173179281607520L, 14592521944527486762L, 15642249000947433628L, 14271108400880950895L]
[11877816403843826416L, 12014162895024865678L, 17060668127871064397L, 17452688976815992245L, 16545595267911255846L, 14911167186489473435L, 18200746789377212737L, 9326636933661973478L, 15407969437339713261L, 13786021461353596722L, 15023004672388046239L, 13810612129584662939L, 15084577976827807672L]
[18283896570760061234L, 9230393508754976917L, 14147478736494203883L, 15425587720313402798L, 12947973302901952105L, 11089070546773902676L, 12299045879431065156L, 12517148825999575358L, 14785495993296873623L, 11557769208837829249L, 15615372359748332963L, 16928165383589508581L, 11796856017071891542L]
[11409939729374617349L, 13860241089634453982L, 14522923563968740725L, 10642290069684092224L, 12297483120909729637L, 10529691594497141000L, 9932891682908515687L, 9257070896053238722L, 18374473460456588690L, 13933349335041567391L, 9351419527198793110L, 18419199171663618250L, 14826769358001617873L]
[10642641891536938486L, 15836026284262328883L, 11064102236598312523L, 13035434143125524071L, 17613881867127370114L, 13942322303536183564L, 13710054260261384626L, 12232021459758840157L, 9302885994237321038L, 17191934770142941311L, 15351307646540655171L, 14547347082533281046L, 15949165463799440473L]
[11644429102224819624L, 11373235161272189199L, 16373538221954170769L, 18303293177673323381L, 12610487583398418009L, 9480106956473988235L, 15592742378299896285L, 9985929170415213914L, 9295102439787150234L, 16861398248553296712L, 12522423797590889414L, 13358571137531266472L, 14613864538901480789L]
[13492957278430464149L, 17303659849953601683L, 9815691975932163705L, 9667217520453751294L, 11414986818716586014L, 12131418138649411950L, 10530829350195878619L, 11706123784021595623L, 17496216550237075812L, 12321660809238659933L, 10783601205783256707L, 12867513169254936695L, 10575348479992985289L]
[13796818891331257402L, 9557172034053836212L, 12389445454022973022L, 12894218580913017549L, 16988682089550365417L, 13142360006175828404L, 10990205912006911643L, 15612300168274913264L, 11192229388854653159L, 14447492657359158370L, 11402876954527058924L, 17095108750638859581L, 12014967917151946860L]
[10206915480888183449L, 11707296159135105252L, 17261577606269943581L, 12026124710575449667L, 17193075448560650015L, 16738657170592299563L, 17971752354481646737L, 10689007687766444588L, 9973355448152218121L, 15457058860381869684L, 15941420378914196032L, 9625866656547187438L, 17981837606897185839L]
[11681883505297503270L, 10872614232369775560L, 11988696247708573754L, 14433442120149327776L, 16498759594071543828L, 15590459085198939023L, 10721820876936191060L, 15169728241497440033L, 17367141122007770804L, 15458602410995198401L, 10376142830135479979L, 12809908770721328924L, 15166754446602848785L]
[12741931071390277747L, 10165064306691412126L, 17584552215511104088L, 13386791730035828593L, 16291889705534356345L, 12542631516895862385L, 14148803639466760469L, 12345847820506532369L, 15594987608749493476L, 10606567076414173830L, 10841189523728561147L, 12186128421606072420L, 12947412144580812835L]
[14224714512369085018L, 16055687198231671630L, 15201062789722675681L, 9768637181008617549L, 15879537137582469557L, 10754341687563309170L, 13081174482016545488L, 11335679178344824854L, 10179723273980743919L, 9737754447950999871L, 9752737048052636383L, 17225376231254067312L, 16207281716001812505L]
